truck_name,date_fixed,date_fixed2,address,longitude,latitude
265,2017-03-13 00:00:07.000,2017-03-13 00:00:08.000,202 CATHERINE ST & BURNET AVE                     ,-76.14208974107913,43.05236620887364
283,2017-03-13 00:00:10.000,2017-03-13 00:00:10.000,484-98 SALINA ST S & ONONDAGA ST                  ,-76.15267764391926,43.04409770694421
263,2017-03-13 00:00:10.000,2017-03-13 00:00:10.000,736 NEWELL ST W & VALLEY DR                       ,-76.15982814420386,43.015808701466554
265,2017-03-13 00:00:18.000,2017-03-13 00:00:19.000,322-24 BURNET AVE & CATHERINE ST                  ,-76.14211194106252,43.05203520881192
285,2017-03-13 00:00:20.000,2017-03-13 00:00:20.000,2430-50 JAMES ST & FOREST HILL DR                 ,-76.1116476323611,43.06850041301591
267,2017-03-13 00:00:22.000,2017-03-13 00:00:22.000,1300 SOUTH AVE & PARKWAY DR                       ,-76.15928144464425,43.02440010306761
208,2017-03-13 00:00:24.000,2017-03-13 00:00:24.000,300 CALEB AVE & STAFFORD AVE                      ,-76.11184063169857,43.05842041115654
265,2017-03-13 00:00:24.000,2017-03-13 00:00:25.000,322-24 BURNET AVE & CATHERINE ST                  ,-76.14207424103425,43.051812908772554
283,2017-03-13 00:00:31.000,2017-03-13 00:00:31.000,240-48 ONONDAGA ST W                              ,-76.15450344441653,43.04277710663083
178,2017-03-13 00:00:34.000,2017-03-13 00:00:34.000,2308 GRANT BLVD & MCCHESNEY PK                    ,-76.14589464387848,43.07408571271595
283,2017-03-13 00:00:35.000,2017-03-13 00:00:35.000,240-48 ONONDAGA ST W                              ,-76.15457814443653,43.04271860661716
283,2017-03-13 00:00:42.000,2017-03-13 00:00:42.000,316 ONONDAGA ST W                                 ,-76.15502614455791,43.04238540653855
208,2017-03-13 00:00:43.000,2017-03-13 00:00:44.000,472 STAFFORD AVE                                  ,-76.11191173178527,43.059304911316325
216,2017-03-13 00:00:44.000,2017-03-13 00:00:44.000,1304 SALINA ST N & COURT ST &                     ,-76.1590036476867,43.067901411072256
263,2017-03-13 00:00:47.000,2017-03-13 00:00:47.000,117 GLENWOOD AVE & ELMWOOD AV                     ,-76.16153474497004,43.018766701944486
263,2017-03-13 00:00:48.000,2017-03-13 00:00:48.000,117 GLENWOOD AVE & ELMWOOD AV                     ,-76.1615679449801,43.01875710194143
179,2017-03-13 00:00:48.000,2017-03-13 00:00:49.000,1820 EB I 690 SYRACUSE 13210                      ,-76.11134273132262,43.05544011062814
286,2017-03-13 00:00:54.000,2017-03-13 00:00:55.000,1824 EB I 690 SYRACUSE 13210                      ,-76.11053293107948,43.05571311070965
